mote_id,time_window,label,PDR,control_msg_rate,parent_change_rate,rank_change_rate,hop_count,pdr_drop,control_msg_rate_norm,cmr_spike,topology_instability,hop_pdr_pressure,risk_composite,anomaly,anomaly_prob,intent,trust_score,cluster,is_outlier,is_safe_cluster
1,0,0,1.0,11.3333,0.6667,0.0392,3,0.0,0.6369568676708408,0.9999991176452423,0.35295,0.0,0.16588494705871454,0,0.16787896703265429,Normal,0.81,0,False,False
1,1,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,1.0285720163268663,0.0185,0.0,0.06726432097961198,0,0.08177937379178855,Normal,0.8929,0,False,False
1,2,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,1.0188680206479266,0.0185,0.0,0.06668208123887559,0,0.06712431524886717,Normal,0.9041,0,False,False
1,3,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,0.9999991666673611,0.0185,0.0,0.06554995000004166,0,0.0543343970303114,Normal,0.9138,0,False,False
1,4,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,0.9999991666673611,0.0185,0.0,0.06554995000004166,0,0.0543343970303114,Normal,0.9138,0,False,False
1,5,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,0.9999991666673611,0.0185,0.0,0.06554995000004166,0,0.0543343970303114,Normal,0.9138,0,False,False
1,6,0,1.0,12.0,0.0,0.037,3,0.0,0.7582949165315716,0.9999991666673611,0.0185,0.0,0.06554995000004166,0,0.0543343970303114,Normal,0.9138,0,False,False
1,7,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,0.692307026627859,0.0111,0.0,0.044868421597671536,0,0.08176637583041801,Normal,0.8955,0,False,False
1,8,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,0.8181808884308086,0.0111,0.0,0.05242085330584852,0,0.07441638958932266,Normal,0.9012,0,False,False
1,9,0,1.0,7.4,0.0,0.0216,3,0.0,-0.07889576107359011,1.0183472224579508,0.0108,0.0,0.06434083334747705,0,0.046045945717944625,Normal,0.923,0,False,False
1,10,0,1.0,7.4,0.0,0.0216,3,0.0,-0.07889576107359011,1.0090895330597278,0.0108,0.0,0.06378537198358367,0,0.027568904714729853,Normal,0.9372,0,False,False
1,11,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,0.9818168429770324,0.0111,0.0,0.06223901057862194,0,0.030872154511233194,Normal,0.9346,0,False,False
1,12,0,1.0,6.8,0.0,0.0235,3,0.0,-0.1880945451090461,0.9532696916780025,0.01175,0.0,0.06072118150068014,0,0.14161673799123511,Normal,0.8494,0,False,False
1,13,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,1.0188664827361094,0.0111,0.0,0.06446198896416656,0,0.08638651488848238,Normal,0.892,0,False,False
1,14,0,1.0,7.4,0.0,0.0216,3,0.0,-0.07889576107359011,1.0373817232966496,0.0108,0.0,0.06548290339779897,0,0.10060176681165021,Normal,0.8812,0,False,False
1,15,0,0.973,7.4,0.0,0.0216,3,0.027000000000000024,-0.07889576107359011,1.0090895330597278,0.0108,0.1080000000000001,0.07458537198358368,0,0.07796014827048521,Normal,0.8864,0,False,False
1,16,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,0.9818168429770324,0.0111,0.0,0.06223901057862194,0,0.030872154511233194,Normal,0.9346,0,False,False
1,17,0,0.9714,7.0,0.0,0.0229,3,0.02859999999999996,-0.15169495043056078,0.9722208719154557,0.01145,0.11439999999999984,0.07320825231492731,0,0.17703885135292835,Normal,0.8106,0,False,False
1,18,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,1.009344379423767,0.0111,0.0,0.06389066276542603,0,0.02517788260666705,Normal,0.9389,0,False,False
1,19,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,1.0093443794237673,0.0111,0.0,0.06389066276542604,0,0.02517788260666705,Normal,0.9389,0,False,False
1,20,0,1.0,7.2,0.0,0.0222,3,0.0,-0.11529535575207545,0.9999986111130402,0.0111,0.0,0.06332991666678241,0,0.006332766563630963,Normal,0.9534,0,False,False
